input_line,query_name,query_birth,query_death,query_state,chosen_memorial_url,chosen_memorial_id,parsed_name,parsed_birth,parsed_death,parsed_place,parsed_bio_snippet,match_score
PFC Shane Cantu Veterans Memorial Highway,PFC Shane Cantu Veterans Memorial Highway,,,,,,,,,,,0.000
Sergeant Joe Johnson Memorial Highway,Joe Johnson Memorial Highway,,,,,,,,,,,0.000
Trooper Jeffrey Werda Memorial Highway,Jeffrey Werda Memorial Highway,,,,,,,,,,,0.000
Gerald R. Ford Freeway,Gerald R Ford Freeway,,,,,,,,,,,0.000
"""Graham Barlow Jr., WWII Memorial Highway""","""Graham Barlow Jr WWII Memorial Highway""",,,,,,,,,,,0.000
D. H. Day Highway,D H Day Highway,,,,,,,,,,,0.000
Brian Derks Memorial Highway,Brian Derks Memorial Highway,,,,,,,,,,,0.000
Christopher Columbus Freeway,Christopher Columbus Freeway,,,,,,,,,,,0.000
Veteran's Memorial Highway,Veteran's Memorial Highway,,,,,,,,,,,0.000
PFC Harold R. Cooley WWII Marine Corps League Memorial Highway,PFC Harold R Cooley WWII Marine Corps League Memorial Highway,,,,,,,,,,,0.000
Auxiliary Lieutenant Dan Kromer Memorial Highway,Auxiliary Lieutenant Dan Kromer Memorial Highway,,,,,,,,,,,0.000
Trooper Vicki Moreau DeVries Memorial Highway,Vicki Moreau DeVries Memorial Highway,,,,,,,,,,,0.000
Veteran's Memorial Highway,Veteran's Memorial Highway,,,,,,,,,,,0.000
Officer Martin 'Marty' Chivas Memorial Highway,Martin 'Marty' Chivas Memorial Highway,,,,,,,,,,,0.000
94th Combat Infantry Division Memorial Highway,94th Combat Infantry Division Memorial Highway,,,,,,,,,,,0.000
Carleton Road,Carleton Road,,,,https://www.findagrave.com/memorial/143749514/c-g-roads,143749514,C G Roads - Find a Grave Memorial,,,"Buried at Valley View Cemetery, South Otselic, Chenango County, New York, United States of America, North America C G Roads - Find a Grave Memorial Skip to main content Home Memorials Cemeteries Famous Contribute Register Sign In Register Sign In Unlock Ad-Free Browsing",,0.327
PFC Andrew H. Nelson Memorial Highway,PFC Andrew H Nelson Memorial Highway,,,,,,,,,,,0.000
AmVets Memorial Parkway,AmVets Memorial Parkway,,,,,,,,,,,0.000
Jacobetti Highway,Jacobetti Highway,,,,,,,,,,,0.000
Trooper Calvin R. Jones Memorial Highway,Calvin R Jones Memorial Highway,,,,,,,,,,,0.000
AmVets Memorial Drive,AmVets Memorial Drive,,,,,,Driver A A Driver (unknown-1956) - Find a Grave...,19,,"Burial Cheras Road Commonwealth War Graves Cemetery Kuala Lumpur , Kuala Lumpur , Federal Territory of Kuala Lumpur , Malaysia Add to Map Memorial ID 198766332 198766332",,0.206
Joseph H. Meagher Memorial Highway,Joseph H Meagher Memorial Highway,,,,,,,,,,,0.000
James Bondsteel Memorial Highway,James Bondsteel Memorial Highway,,,,,,,,,,,0.000
Underground Railroad Memorial Highway,Underground Railroad Memorial Highway,,,,,,,,,,,0.000
Chief Ed Switalski Memorial Highway,Ed Switalski Memorial Highway,,,,,,,,,,,0.000
Frank D. Fitzgerald Memorial Highway,Frank D Fitzgerald Memorial Highway,,,,,,James Trimble Dunlap (1810-1879) - Find a Grave...,18,18,"Burial Paris City Cemetery Paris , Henry County , Tennessee , USA Add to Map Memorial ID 11220232 11220232",,0.169
Earl DeMarse Memorial Highway,Earl DeMarse Memorial Highway,,,,,,,,,,,0.000
Veterans Memorial Road,Veterans Memorial Road,,,,,,,,,,,0.000
Underground Railroad Memorial Highway,Underground Railroad Memorial Highway,,,,,,,,,,,0.000
Trooper Larry Forreider Memorial Highway,Larry Forreider Memorial Highway,,,,,,,,,,,0.000
